,County,2015 Q1 Profits,2015 Q234 Profits,2015 Growth%,2016 Q1 Profits,2016 Q234 Forcast,Forcasted Growth%,Growth Delta%
0,Fremont,1773.22,6256.7,252.84,1910.32,31762.64,1562.69,518.05
1,Wayne,8897.05,26365.94,196.34,7696.11,49131.59,538.4,174.22
2,Taylor,9384.42,27547.58,193.55,10591.64,58188.23,449.38,132.18
3,Davis,7127.44,25016.62,250.99,6934.0,46006.13,563.49,124.51
4,Adams,6794.39,26820.39,294.74,7293.89,48967.47,571.35,93.85
5,Keokuk,11892.97,38104.97,220.4,9750.61,50619.14,419.14,90.17
6,Osceola,22142.32,64866.14,192.95,18469.17,82725.18,347.91,80.31
7,Van Buren,13214.97,45018.48,240.66,15234.46,76095.55,399.5,66.0
8,Madison,73841.24,182657.7,147.37,57237.99,196173.87,242.73,64.71
9,Louisa,19743.03,57829.4,192.91,17041.05,70934.53,316.26,63.94
10,Iowa,99162.64,257700.24,159.88,80356.65,281566.05,250.4,56.62
11,Franklin,39598.47,124236.57,213.74,17490.96,74481.18,325.83,52.44
12,Audubon,13173.47,45140.71,242.66,12417.68,56622.79,355.99,46.7
13,Decatur,12241.35,47110.31,284.85,13823.91,70441.24,409.56,43.78
14,Palo Alto,53103.81,148865.68,180.33,50741.94,182271.02,259.21,43.74
15,Pocahontas,28261.67,81590.27,188.7,28873.07,106377.77,268.43,42.25
16,Harrison,42699.11,126741.72,196.83,27620.02,102843.63,272.35,38.37
17,Grundy,25990.33,75150.01,189.15,29941.62,108046.57,260.86,37.91
18,Chickasaw,30929.01,96284.65,211.31,27147.19,103859.36,282.58,33.73
19,Greene,47310.15,148161.12,213.17,44434.44,170462.42,283.63,33.05
20,Adair,34635.64,107483.57,210.33,35187.43,133339.97,278.94,32.62
21,Monroe,22518.06,81355.99,261.29,20660.89,92206.5,346.29,32.53
22,Ringgold,8941.25,37269.1,316.82,11522.46,58973.53,411.81,29.98
23,Worth,20123.8,66290.46,229.41,23301.6,92056.51,295.07,28.62
24,Wright,51563.48,152613.24,195.97,47744.05,166898.56,249.57,27.35
25,Page,96306.49,296535.92,207.91,64672.09,233060.91,260.37,25.23
26,Howard,56501.5,181361.21,220.98,33222.04,124520.35,274.81,24.36
27,Mitchell,35134.67,111401.2,217.07,35792.05,130541.2,264.72,21.95
28,Butler,23163.43,71655.96,209.35,25937.98,91327.22,252.1,20.42
29,Benton,62094.26,181382.52,192.11,59044.07,194613.74,229.61,19.52
30,Lyon,62310.74,201014.36,222.6,56914.03,208279.17,265.95,19.47
31,Clayton,54446.69,179904.11,230.42,50150.55,188077.3,275.03,19.36
32,Union,76267.69,247924.49,225.07,78440.65,283143.4,260.97,15.95
33,Henry,84707.49,277102.2,227.13,81923.86,296262.14,261.63,15.19
34,Mills,33244.33,112821.15,239.37,37580.09,141052.86,275.34,15.03
35,Pottawattamie,809001.87,2546800.35,214.81,782308.75,2713598.91,246.87,14.92
36,Jackson,99023.95,304874.53,207.88,100060.94,338432.77,238.23,14.6
37,Tama,51960.57,161268.85,210.37,51180.97,173398.21,238.79,13.51
38,Mahaska,78147.44,243639.42,211.77,71481.54,241852.78,238.34,12.55
39,Guthrie,19934.43,78941.94,296.01,20209.71,86443.89,327.73,10.72
40,Floyd,95224.64,315446.42,231.27,102453.2,362905.49,254.22,9.92
41,Lee,300252.02,992268.95,230.48,269226.77,948301.97,252.23,9.44
42,Jefferson,65584.28,222775.34,239.68,68781.84,248607.05,261.44,9.08
43,Montgomery,47247.12,161571.3,241.97,48762.34,176739.34,262.45,8.46
44,Jones,81610.28,258407.58,216.64,65667.77,219694.82,234.56,8.27
45,Marshall,233583.22,777756.38,232.97,250470.77,881529.02,251.95,8.15
46,Monona,37951.82,135634.23,257.39,43886.77,165576.29,277.28,7.73
47,Dubuque,678081.22,2233507.76,229.39,643806.29,2225150.96,245.62,7.08
48,Des Moines,296434.27,989471.45,233.79,281258.61,980103.58,248.47,6.28
49,Washington,109674.52,377550.64,244.25,116428.26,417591.77,258.67,5.9
50,Muscatine,239305.47,771115.54,222.23,230720.21,767170.19,232.51,4.63
51,Linn,1950895.14,6394505.15,227.77,1939593.13,6494389.97,234.83,3.1
52,Humboldt,50192.9,167510.53,233.73,48192.26,162681.91,237.57,1.64
53,Calhoun,23259.55,84702.89,264.16,31244.06,115097.85,268.38,1.6
54,Buchanan,98544.26,335326.23,240.28,96565.55,332110.07,243.92,1.51
55,Story,655713.05,2204448.61,236.19,670106.6,2275269.94,239.54,1.42
56,Kossuth,136346.37,456258.46,234.63,110543.14,370877.7,235.5,0.37
57,Shelby,62188.23,217319.71,249.45,40214.34,140650.25,249.75,0.12
58,Clarke,45899.82,176799.44,285.19,40125.07,154494.31,285.03,-0.06
59,Cass,85968.44,295489.39,243.72,92897.82,318707.9,243.07,-0.27
60,Clay,124931.58,401435.2,221.32,110885.08,355210.3,220.34,-0.44
61,Polk,4626787.51,16628717.64,259.4,4842004.01,17262890.94,256.52,-1.11
62,Jasper,133409.36,425705.04,219.1,128414.65,405817.1,216.02,-1.41
63,Scott,1514592.01,5299570.07,249.9,1512052.17,5209231.15,244.51,-2.16
64,Warren,184333.12,602385.46,226.79,170309.96,546215.51,220.72,-2.68
65,Hancock,22034.4,81318.98,269.05,21739.04,78455.83,260.9,-3.03
66,Johnson,1249545.39,4650009.18,272.14,1278521.62,4629693.57,262.11,-3.69
67,Plymouth,114116.08,407575.36,257.16,111789.63,387606.64,246.73,-4.06
68,Cherokee,55168.73,193759.03,251.21,52995.98,180539.26,240.67,-4.2
69,Buena Vista,132328.18,471063.43,255.98,126470.74,435925.48,244.68,-4.41
70,Hamilton,64030.43,221157.32,245.39,59320.7,198423.2,234.49,-4.44
71,Delaware,62358.21,228782.44,266.88,71862.45,254788.79,254.55,-4.62
72,Cedar,38865.05,138267.5,255.76,40648.19,139144.35,242.31,-5.26
73,Bremer,136519.41,464457.78,240.21,124807.57,408491.57,227.3,-5.37
74,Woodbury,730967.88,2646140.93,262.01,737418.06,2560039.85,247.16,-5.67
75,Sioux,109016.65,393995.41,261.41,110870.29,383303.8,245.72,-6.0
76,Black Hawk,1202353.83,4159808.96,245.97,1256313.61,4156114.45,230.82,-6.16
77,Crawford,92030.75,331598.96,260.31,93920.31,323119.32,244.04,-6.25
78,Hardin,137941.73,471376.2,241.72,134752.23,438920.49,225.72,-6.62
79,Sac,37727.48,145305.06,285.14,41573.16,148571.95,257.37,-9.74
80,Webster,240961.5,856732.3,255.55,270127.62,889825.39,229.41,-10.23
81,Poweshiek,92728.13,358353.17,286.46,100979.92,360615.48,257.12,-10.24
82,Wapello,193483.66,724196.72,274.29,201008.21,681269.44,238.93,-12.89
83,Winneshiek,89985.86,339459.76,277.24,97911.44,334093.77,241.22,-12.99
84,Emmet,40730.06,155231.42,281.12,43521.5,149976.52,244.6,-12.99
85,Carroll,161453.17,622374.4,285.48,175647.95,611981.4,248.41,-12.99
86,O'Brien,93143.25,333124.9,257.65,86580.03,279961.03,223.36,-13.31
87,Winnebago,51475.75,191473.23,271.97,56434.09,189282.38,235.4,-13.45
88,Clinton,244835.14,891640.43,264.18,249242.5,804860.27,222.92,-15.62
89,Fayette,85238.9,292076.76,242.66,107616.08,326136.01,203.06,-16.32
90,Marion,132404.45,527506.58,298.41,150903.01,526450.25,248.87,-16.6
91,Boone,124589.97,462619.44,271.31,138474.26,449980.77,224.96,-17.08
92,Lucas,25675.7,113283.8,341.21,33868.5,127645.75,276.89,-18.85
93,Ida,33403.43,149592.62,347.84,45988.12,174832.86,280.17,-19.45
94,Cerro Gordo,397814.89,1526233.4,283.65,427120.6,1347726.66,215.54,-24.01
95,Allamakee,52241.62,223758.64,328.31,59832.68,203295.57,239.77,-26.97
96,Appanoose,50906.19,228425.45,348.72,59035.98,206038.6,249.01,-28.59
97,Dallas,304256.39,1555024.53,411.09,344405.03,1344440.48,290.37,-29.37
98,Dickinson,220758.16,1105434.96,400.74,218457.85,726626.37,232.62,-41.95
